order,start_date,end_date,goal,total_production,good_production
246546,2023-07-03 17:41:40,2023-07-03 23:03:44,120000.0,120746.0,120495.0
246547,2023-07-03 23:03:44,2023-07-04 07:29:43,220005.0,222647.0,222315.0
246548,2023-07-04 07:29:43,2023-07-04 13:07:06,50010.0,53193.0,52770.0
246549,2023-07-04 13:07:06,2023-07-04 17:59:27,110010.0,104869.0,104685.0
246550,2023-07-04 17:59:27,2023-07-04 19:11:34,10005.0,12557.0,12495.0
246551,2023-07-04 19:11:34,2023-07-05 13:35:50,490005.0,504575.0,503430.0
246554,2023-07-05 13:35:50,2023-07-06 16:55:22,630000.0,698928.0,698010.0
246552,2023-07-06 16:55:22,2023-07-06 23:28:44,69990.0,73623.0,73260.0
246553,2023-07-06 23:28:44,2023-07-07 16:43:00,424005.0,465557.0,466305.0
246710,2023-07-09 23:00:00,2023-07-10 13:13:50,300000.0,293150.0,292440.0
246711,2023-07-10 13:13:50,2023-07-11 03:02:24,315000.0,307492.0,306720.0
246712,2023-07-11 03:02:24,2023-07-11 12:00:45,220005.0,218898.0,218550.0
246713,2023-07-11 12:00:45,2023-07-11 14:48:39,48000.0,49074.0,48915.0
246714,2023-07-11 14:48:39,2023-07-13 08:46:27,880005.0,882299.0,880185.0
246715,2023-07-13 08:46:27,2023-07-14 20:39:04,960000.0,879900.0,876180.0
246775,2023-07-16 23:00:00,2023-07-17 11:22:31,264000.0,262454.0,260985.0
246776,2023-07-17 11:22:31,2023-07-18 10:31:14,477000.0,467104.0,465660.0
246777,2023-07-18 10:31:14,2023-07-19 02:08:55,330000.0,165931.0,164715.0
246778,2023-07-19 02:08:55,2023-07-20 08:30:04,500010.0,501880.0,499230.0
246779,2023-07-20 08:30:04,2023-07-21 10:47:06,350010.0,348191.0,346920.0
246780,2023-07-21 10:47:06,2023-07-21 14:36:41,709995.0,44862.0,44325.0
246892,2023-07-23 23:00:00,2023-07-24 04:05:13,50010.0,50381.0,50055.0
246893,2023-07-24 04:05:13,2023-07-24 14:56:10,250005.0,248877.0,249780.0
246894,2023-07-24 14:56:10,2023-07-25 05:37:58,315000.0,307856.0,306135.0
246895,2023-07-25 05:37:58,2023-07-25 16:24:14,300000.0,147698.0,146655.0
246897,2023-07-25 16:24:14,2023-07-26 17:36:41,440010.0,439601.0,438150.0
246896,2023-07-26 17:36:41,2023-07-27 04:34:49,220005.0,212387.0,211605.0
246898,2023-07-27 04:34:49,2023-07-27 08:09:57,50010.0,47494.0,47190.0
246899,2023-07-27 08:09:57,2023-07-27 10:59:41,50010.0,52965.0,52770.0
246939,2023-07-27 10:59:41,2023-07-27 23:35:40,160005.0,163882.0,162735.0
246891,2023-07-27 23:35:40,2023-07-28 22:51:09,796995.0,448785.0,447210.0
247093,2023-07-30 23:01:00,2023-08-01 13:52:20,960000.0,811342.0,807765.0
247094,2023-08-01 13:52:20,2023-08-01 23:46:37,417990.0,103193.0,102885.0
247157,2023-08-04 02:00:00,2023-08-04 18:42:07,330000.0,383270.0,382800.0
247245,2023-08-08 09:34:00,2023-08-08 19:23:49,351990.0,264674.0,264195.0
247246,2023-08-08 19:23:49,2023-08-09 01:57:49,180000.0,145382.0,145320.0
247251,2023-08-09 01:57:49,2023-08-09 14:36:31,250005.0,252383.0,251400.0
247248,2023-08-09 14:36:31,2023-08-10 04:42:01,210000.0,199250.0,198855.0
247247,2023-08-10 04:42:01,2023-08-10 12:33:27,240000.0,156024.0,155640.0
247244,2023-08-10 12:33:27,2023-08-10 19:21:50,125010.0,125456.0,124575.0
247250,2023-08-10 19:21:50,2023-08-10 22:52:09,50010.0,47577.0,47445.0
247289,2023-08-10 22:52:09,2023-08-11 20:52:29,529995.0,332723.0,331680.0
247361,2023-08-15 23:01:00,2023-08-16 10:47:03,200010.0,197195.0,196560.0
247360,2023-08-16 10:47:03,2023-08-17 05:07:20,424005.0,412398.0,411720.0
247362,2023-08-17 05:07:20,2023-08-17 19:05:47,250005.0,250288.0,249690.0
247363,2023-08-17 19:05:47,2023-08-18 18:28:33,628005.0,472259.0,471225.0
247449,2023-08-20 23:01:00,2023-08-21 18:42:00,450000.0,448550.0,894960.0
247448,2023-08-21 18:42:00,2023-08-22 04:21:19,210000.0,203142.0,202560.0
247450,2023-08-22 04:21:19,2023-08-22 17:23:47,250005.0,250905.0,249870.0
247447,2023-08-22 17:23:47,2023-08-23 00:43:00,100005.0,100581.0,100170.0
247451,2023-08-23 00:43:00,2023-08-23 05:33:09,120000.0,123351.0,123030.0
247452,2023-08-23 05:33:09,2023-08-23 21:33:28,439995.0,429503.0,438885.0
247446,2023-08-23 21:33:28,2023-08-24 00:15:43,50010.0,45315.0,44880.0
247453,2023-08-24 00:15:43,2023-08-25 15:10:08,987000.0,979301.0,977730.0
247595,2023-08-27 23:01:00,2023-08-29 01:32:43,649995.0,610730.0,609960.0
247596,2023-08-29 01:32:43,2023-08-29 11:10:48,250005.0,247422.0,247200.0
247597,2023-08-29 11:10:48,2023-08-30 04:57:34,274995.0,265724.0,264975.0
247598,2023-08-30 04:57:34,2023-08-31 03:37:37,636000.0,620853.0,620025.0
247599,2023-08-31 03:37:37,2023-08-31 17:42:08,264000.0,263290.0,261390.0
247613,2023-08-31 17:42:08,2023-09-01 07:06:09,150000.0,161009.0,160515.0
247600,2023-09-01 07:06:09,2023-09-02 08:14:22,500010.0,514850.0,512385.0
247682,2023-09-03 23:00:00,2023-09-04 18:06:37,400000.005,400620.0,397665.0
